"ID"|"EAN13"|"CODE_ISP"|"EDITABLE_NAME"|"PRINCIPE_ACTIVE"|"CLEAR_CONCENTRATION"|"CONCENTRATION"|"SHAPE_PHARMACY"|"QUANTITY_PER_CONTAINER"|"UNIT_OF_MEASUREMENT"|"LABORATORY"|"MASTER_CATEGORY"|"CATEGORY"|"SUB_CATEGORY"|"PRESCRIPTION_TYPE"|"BIOEQUIVALENT"|"COOLED"|"CENABAST"|"BRAND"|"LIQUID"
777000174|7800004340453|"F-10441/16"|"ORALGENE 0,12 % COLUTORIO X 500 ML"|"CLORHEXIDINA GLUCONATO 0,12%"|"0,12"|"0,12%"|"COLUTORIO"|"500"|"100 ML"|"MAVER"|"CUIDADO PERSONAL E HIGIENE"|"SALUD DENTAL"|"ENJUAGUES BUCALES"|"NP"|0|0||1|1
777000175|7800004348008|"F-10446/21"|"PROCTOGEL X 30 G CREMA TOPICA"|"LIDOCAINA CLORHIDRATO 2 G/100 G TRIBENOSIDO 5 G/100 G"|"2;5"|"2 G/100 G;5 G/100 G"|"CREMA TOPICA"|"30"|"100 G"|"MAVER"|"MEDICAMENTOS"|"ANTIVARICOSOS Y ANTIHEMORROIDALES"|"ANTIHEMORROIDALES"|"NP"|0|0||1|0
777000176|7800004399536|"F-10458/21"|"TAPSIN COMPUESTO DIA 5 G X 1 SOBRE POLVO PARA SOLUCION ORAL"|"ACIDO ASCORBICO (VITAMINA C) 50 MG CAFEINA 40 MG NOSCAPINA 10 MG"|"50;40;10;650"|"50 MG;40 MG;10 MG;650 MG"|"POLVO PARA SOLUCION ORAL"|"1"|"SOBRE"|"MAVER"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS A RESFRIADO"|"ANTIGRIPALES"|"NP"|1|0||1|0
777000177|7800004399567|"F-4/17"|"TAPSIN COMPUESTO NOCHE 5 G X 1 SOBRE POLVO PARA SOLUCION ORAL"|"ACIDO ASCORBICO (VITAMINA C) 50 MG CAFEINA 40 MG CLORFENAMINA MALEATO 4 MG"|"50;40;4;10;650"|"50 MG;40 MG;4 MG;10 MG;650 MG"|"POLVO PARA SOLUCION ORAL"|"1"|"100 G"|"MAVER"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS A RESFRIADO"|"ANTIGRIPALES"|"NP"|1|0||1|0
777000178|7800004501946|"F-10457/16"|"TAPSIN X 12 COMPRIMIDOS"|"PARACETAMOL 444,4 MG CAFEINA 33 MG"|"444,4;33"|"444,4 MG;33 MG"|"COMPRIMIDOS"|"12"|"COMPRIMIDO"|"MAVER"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|0|0||1|0
777000179|7800004507153|"F-16129/17"|"TAPSIN PURO SIN CAFEINA 500 MG X 24 COMPRIMIDOS"|"PARACETAMOL 500 MG"|"500"|"500 MG"|"COMPRIMIDOS"|"24"|"COMPRIMIDO"|"MAVER"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|1|0||1|0
777000180|7800004507870|"F-2488/19"|"TAPSIN FORTE X 20 COMPRIMIDOS RECUBIERTOS"|"PARACETAMOL 650 MG CAFEINA 40 MG"|"650;40"|"650 MG;40 MG"|"COMPRIMIDOS RECUBIERTOS"|"20"|"COMPRIMIDO"|"MAVER"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|0|0||1|0
777000181|7800004508594|"F-10427/21"|"DOLORUB 5 % X 45 G CREMA TOPICA"|"IBUPROFENO 5%"|"5"|"5 %"|"CREMA TOPICA"|"45"|"100 G"|"MAVER"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|0|0||1|0
777000182|7800004508846||"NENEGLOS ADVANCED X 40 G"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"UNGUENTO DERMICO"|"40"|"100 G"|"NENEGLOSS"|"BEBE E INFANTIL"|"CREMAS PARA COCEDURAS"|"REGENERADORES DE TEJIDO"|"NP"|0|0||1|0
777000183|7800004509447|"F-16129/17"|"TAPSIN PURO SIN CAFEINA 500 MG X 16 COMPRIMIDOS"|"PARACETAMOL 500 MG"|"500"|"500 MG"|"COMPRIMIDOS"|"16"|"COMPRIMIDO"|"MAVER"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|1|0||1|0
777000184|7800006000249|"SAG 368"|"INVERMIC 2 % PERRO X 10 ML SOLUCION ORAL PARA GOTAS"|"LEVAMIZOL 2%"|"2"|"2 %"|"SOLUCION ORAL PARA GOTAS"|"10"|"100 ML"|"DRAG PHARMA"|"VETERINARIA"|"ANTIPARASITARIOS"|"INTERNO"|"MRE"|0|0||1|1
777000185|7800006002861|"SAG 368"|"INVERMIC 2 % GATO X 10 ML SOLUCION ORAL PARA GOTAS"|"LEVAMIZOL 2%"|"2"|"2 %"|"SOLUCION ORAL PARA GOTAS"|"10"|"100 ML"|"DRAG PHARMA"|"VETERINARIA"|"ANTIPARASITARIOS"|"INTERNO"|"MRE"|0|0||1|1
777000186|7800006010170||"PAPAINPET PERROS/GATOS X 30 COMPRIMIDOS"|"EXTRACTO DE PAPAYA 50 MG"||"50 MG"|"COMPRIMIDOS"|"30"|"COMPRIMIDO"|"DRAG PHARMA"|"VETERINARIA"|"SUPLEMENTOS ALIMENTICIOS"|"MULTIVITAMINICOS"|"NP"|0|0||1|0
777000187|7800007100306|"F-2282/19"|"TRITTICO 25 MG X 20 CAPSULAS"|"TRAZODONA CLORHIDRATO 25 MG"|"25"|"25 MG"|"CAPSULAS"|"20"|"CAPSULA"|"CHILE"|"MEDICAMENTOS"|"SISTEMA NERVIOSO CENTRAL Y PERIFERICO"|"ESTABILIZADORES DEL ANIMO"|"MRE"|0|0||1|0
777000188|7800007100306||"TRITTICO 25 MG X 20 CAPSULAS"|"TRAZODONA CLORHIDRATO 25 MG"|"25"|"25 MG"|"CAPSULAS"|"20"|"CAPSULA"|"LABORATORIO TEVA"|"MEDICAMENTOS"|"SISTEMA NERVIOSO CENTRAL Y PERIFERICO"|"ESTABILIZADORES DEL ANIMO"|"MRE"|0|0|"CENABAST"|1|0
777000189|7800007109361|"F-3976/20"|"LAUNOL X 60 ML LOCION TOPICA"|"DELTAMETRINA 0,02 G/100 ML PIPERONIL BUTOXIDO 2,5 G/100 ML"|"0,02; 2,5"|"0,02 G/100 ML;2,5 G/100 ML"|"LOCION TOPICA"|"60"|"100 ML"|"CHILE"|"MEDICAMENTOS"|"ANTIPARASITARIOS"|"TRATAMIENTO DE PEDICULOSIS (PIOJOS)"|"NP"|0|0||1|1
777000190|7800007119407|"F-3932/20"|"FAMOTIDINA 40 MG X 10 COMPRIMIDOS RECUBIERTOS"|"FAMOTIDINA 40 MG"|"40"|"40 MG"|"COMPRIMIDOS RECUBIERTOS"|"10"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIULCEROSOS"|"MRE"|1|0||0|0
777000191|7800007120250|"F-2274/19"|"FUROSEMIDA 40 MG X 12 COMPRIMIDOS"|"FUROSEMIDA 40 MG"|"40"|"40 MG"|"COMPRIMIDOS"|"12"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA CARDIOVASCULAR Y SANGUINEO"|"DIURETICOS"|"MRE"|1|0||0|0
777000192|7800007124326|"F-4001/20"|"PARACETAMOL 500 MG X 16 COMPRIMIDOS"|"PARACETAMOL 500 MG"|"500"|"500 MG"|"COMPRIMIDOS"|"16"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|1|0||0|0
777000193|7800007129390|"F-3926/20"|"DICLOFENACO SODICO 100 MG X 8 CAPSULAS CON GRANULOS RECUBIERTOS DE LIBERACION PROLONGADA"|"DICLOFENACO SODICO 100 MG"|"100"|"100 MG"|"CAPSULAS CON GRANULOS RECUBIERTOS DE LIBERACION PROLONGADA"|"8"|"CAPSULA"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"MRE"|0|0||0|0
777000194|7800007129475|"F-6270/20"|"DOMPERIDONA 10 MG X 20 CAPSULAS"|"DOMPERIDONA 10 MG"|"10"|"10 MG"|"CAPSULAS"|"20"|"CAPSULA"|"CHILE"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIEMETICOS (VOMITOS Y MAREOS)"|"MRE"|1|0||0|0
777000195|7800007141927|"F-3903/20"|"CLOTRIMAZOL 100 MG X 6 OVULOS VAGINALES"|"CLOTRIMAZOL 100 MG"|"100"|"100 MG"|"OVULOS VAGINALES"|"6"|"OVULO"|"CHILE"|"MEDICAMENTOS"|"ANTIMICOTICOS"|"VAGINALES"|"APR"|0|0||0|0
777000196|7800007142061|"F-3921/20"|"DICLOFENACO SODICO INFANTIL 12,5 MG X 5 SUPOSITORIOS"|"DICLOFENACO SODICO 12,5 MG"|"12,5"|"12,5 MG"|"SUPOSITORIOS"|"5"|"SUPOSITORIO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"MRE"|0|0||0|0
777000197|7800007143112|"F-3879/20"|"BETAMETASONA 0,05 % X 15 G CREMA TOPICA"|"BETAMETASONA 0,05%"|"0,05"|"0,05 %"|"CREMA TOPICA"|"15"|"100 G"|"CHILE"|"MEDICAMENTOS"|"CORTICOIDES"|"TOPICOS"|"MRE"|0|0||0|0
777000198|7800007143709|"F-3902/20"|"CLOTRIMAZOL 1% X 20 G CREMA TOPICA"|"CLOTRIMAZOL 1%"|"1"|"1%"|"CREMA TOPICA"|"20"|"100 G"|"CHILE"|"MEDICAMENTOS"|"ANTIMICOTICOS"|"TOPICOS"|"NP"|0|0||0|0
777000199|7800007172808|"F-8459/21"|"MIGRATAM X 10 COMPRIMIDOS RECUBIERTOS"|"ERGOTAMINA TARTRATO 1 MG CAFEINA 100 MG METAMIZOL (DIPIRONA) 300 MG"|"1;100;300"|"1 MG;100 MG;300 MG"|"COMPRIMIDOS RECUBIERTOS"|"10"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANTIJAQUECOSOS"|"MRE"|0|0||1|0
777000200|7800007176394|"F-7582/21"|"NAPROXENO SODICO 550 MG X 10 COMPRIMIDOS RECUBIERTOS"|"NAPROXENO SODICO 550 MG"|"550"|"550 MG"|"COMPRIMIDOS RECUBIERTOS"|"10"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"MRE"|1|0||0|0
777000201|7800007177957|"F-16049/17"|"KETOPROFENO 50 MG X 20 CAPSULAS"|"KETOPROFENO 50 MG"|"50"|"50 MG"|"CAPSULAS"|"20"|"CAPSULA"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"MRE"|1|0||0|0
777000202|7800007187833|"F-3891/20"|"CAM 0,25 MG/2 MG X 30 COMPRIMIDOS"|"BETAMETASONA 0,25 MG DEXCLORFENIRAMINA 2 MG"|"0,25; 2"|"0,25 MG;2 MG"|"COMPRIMIDOS"|"30"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA RESPIRATORIO"|"ANTIHISTAMINICOS (ALERGIAS)"|"RMRSCS"|0|0||1|0
777000203|7800007188212|"F-3892/20"|"CAM X 120 ML JARABE"|"BETAMETASONA 0,25 MG/5 ML DEXCLORFENIRAMINA 2 MG/5 ML"|"0,25; 2"|"0,25 MG/5 ML;2 MG/5 ML"|"JARABE"|"120"|"100 ML"|"CHILE"|"MEDICAMENTOS"|"SISTEMA RESPIRATORIO"|"ANTIHISTAMINICOS (ALERGIAS)"|"RMRSCS"|0|0||1|1
777000204|7800007305978|"F-8389/21"|"DONOMIX X 15 G CREMA TOPICA"|"CLOTRIMAZOL 0,05% BETAMETASONA 1%"|"0,05; 1"|"0,05%;1%"|"CREMA TOPICA"|"15"|"100 G"|"CHILE"|"MEDICAMENTOS"|"ANTIMICOTICOS"|"TOPICOS"|"APR"|0|0||1|0
777000205|7800007386526|"F-8463/21"|"NASTIFRIN COMPUESTO X 10 COMPRIMIDOS RECUBIERTOS"|"CLORFENAMINA 4 MG PARACETAMOL 555,56 MG PSEUDOEFEDRINA 60 MG"|"4;555,56;60"|"4 MG;555,56 MG;60 MG"|"COMPRIMIDOS RECUBIERTOS"|"10"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS A RESFRIADO"|"ANTIGRIPALES"|"MRE"|0|0||1|0
777000206|7800007388735|"F-8329/21"|"ATENOLOL 50 MG X 20 COMPRIMIDOS"|"ATENOLOL 50 MG"|"50"|"50 MG"|"COMPRIMIDOS"|"20"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA CARDIOVASCULAR Y SANGUINEO"|"ANTIHIPERTENSIVOS ASOCIADOS Y RELACIONADOS CON OTRAS ENFERMEDADES"|"MRE"|1|0||0|0
777000207|7800007403636|"F-8415/21"|"FRENALER D INFANTIL X 100 ML JARABE"|"LORATADINA 2,5 MG/5 ML PSEUDOEFEDRINA SULFATO 15 MG/5 ML"|"2,5;15"|"2,5 MG/5 ML;15 MG/5 ML"|"JARABE"|"100"|"100 ML"|"CHILE"|"MEDICAMENTOS"|"SISTEMA RESPIRATORIO"|"ANTIHISTAMINICOS (ALERGIAS)"|"MRE"|0|0||1|1
777000208|7800007409249|"F-494/18"|"KITADOL 500 MG X 24 COMPRIMIDOS"|"PARACETAMOL 500 MG"|"500"|"500 MG"|"COMPRIMIDOS"|"24"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|1|0||1|0
777000209|7800007409836|"F-496/18"|"KITADOL 120 MG/5 ML X 60 ML JARABE"|"PARACETAMOL 120 MG/5 ML"|"120"|"120 MG/5 ML"|"JARABE"|"60"|"100 ML"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|0|0||1|1
777000210|7800007409836|"F-496/23"|"KITADOL INFANTIL 120 MG/5 ML X 60 ML JARABE"|"PARACETAMOL 120 MG/5 ML"|"120"|"120 MG/5 ML"|"JARABE"|"60"|"100 ML"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|0|0|"CENABAST"|1|1
777000211|7800007409911|"F-17515/19"|"KITADOL 100 MG/ML X 15 ML SOLUCION ORAL PARA GOTAS"|"PARACETAMOL 100 MG/ML"|"100"|"100 MG/ML"|"SOLUCION ORAL PARA GOTAS"|"15"|"100 ML"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|0|0||1|1
777000212|7800007479297|"F-7169/20"|"CORTIPREX 20 MG/5 ML X 60 ML SUSPENSION ORAL"|"PREDNISONA 20 MG/5 ML"|"20"|"20 MG/5 ML"|"SUSPENSION ORAL"|"60"|"100 ML"|"CHILE"|"MEDICAMENTOS"|"CORTICOIDES"|"SISTEMICOS"|"RMRSCS"|0|0||1|1
777000213|7800007483997||"AEROFACIDOSE AE ESCOLAR ADULTO X 1 UNIDAD"|"NO APLICA UNITARIO"||"UNITARIO"|"AEROCAMARA"|"1"|"UNIDAD"|"CHILE"|"DISPOSITIVOS MEDICOS"|"AEROCAMARAS Y NEBULIZADORES"|"AEROCAMARAS"|"NP"|0|0||1|0
777000214|7800007484024||"AEROFACIDOSE AE LACTANTE X 1 UNIDAD"|"NO APLICA UNITARIO"||"UNITARIO"|"AEROCAMARA"|"1"|"UNIDAD"|"CHILE"|"DISPOSITIVOS MEDICOS"|"AEROCAMARAS Y NEBULIZADORES"|"AEROCAMARAS"|"NP"|0|0||1|0
777000215|7800007615817|"F-11957/17"|"RIPOL 50 MG X 1 COMPRIMIDOS RECUBIERTOS"|"SILDENAFILO 50 MG"|"50"|"50 MG"|"COMPRIMIDOS RECUBIERTOS"|"1"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA REPRODUCTIVO Y URINARIO"|"ESTIMULANTES SEXUALES MASCULINOS"|"MRE"|1|0||1|0
777000216|7800007649126|"F-8455/21"|"LORATADINA 10 MG X 30 COMPRIMIDOS"|"LORATADINA 10 MG"|"10"|"10 MG"|"COMPRIMIDOS"|"30"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA RESPIRATORIO"|"ANTIHISTAMINICOS (ALERGIAS)"|"MRE"|1|0||0|0
777000217|7800007659279|"F-13663/19"|"CLARITROMICINA 500 MG X 14 COMPRIMIDOS RECUBIERTOS"|"CLARITROMICINA 500 MG"|"500"|"500 MG"|"COMPRIMIDOS RECUBIERTOS"|"14"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"ANTIBIOTICOS"|"MACROLIDOS"|"APR"|1|0||0|0
777000218|7800007659354|"F-13747/19"|"MELOXICAM 15 MG X 10 COMPRIMIDOS"|"MELOXICAM 15 MG"|"15"|"15 MG"|"COMPRIMIDOS"|"10"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"MRE"|1|0||0|0
777000219|7800007661258|"F-4270/20"|"AZITROMICINA 500 MG X 6 COMPRIMIDOS RECUBIERTOS"|"AZITROMICINA 500 MG"|"500"|"500 MG"|"COMPRIMIDOS RECUBIERTOS"|"6"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"ANTIBIOTICOS"|"MACROLIDOS"|"APR"|1|0||0|0
777000220|7800007670595|"F-14271/19"|"SERTRALINA 50 MG X 30 COMPRIMIDOS"|"SERTRALINA 50 MG"|"50"|"50 MG"|"COMPRIMIDOS"|"30"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA NERVIOSO CENTRAL Y PERIFERICO"|"ESTABILIZADORES DEL ANIMO"|"MRE"|1|0||0|0
777000221|7800007672964|"F-14077/19"|"NEO-ALERTOP 5 MG X 30 COMPRIMIDOS RECUBIERTOS"|"LEVOCETIRIZINA DICLORHIDRATO 5 MG"|"5"|"5 MG"|"COMPRIMIDOS RECUBIERTOS"|"30"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA RESPIRATORIO"|"ANTIHISTAMINICOS (ALERGIAS)"|"MRE"|1|0||1|0
777000222|7800007679895|"F-24122/18"|"LOSARTAN POTASICO 50 MG X 30 COMPRIMIDOS RECUBIERTOS"|"LOSARTAN 50 MG"|"50"|"50 MG"|"COMPRIMIDOS RECUBIERTOS"|"30"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA CARDIOVASCULAR Y SANGUINEO"|"ANTIHIPERTENSIVOS"|"MRE"|1|0||0|0
777000223|7800007698414|"F-8344/21"|"KETOROLACO TROMETAMOL 10 MG X 10 COMPRIMIDOS RECUBIERTOS"|"KETOROLACO TROMETAMOL 10 MG"|"10"|"10 MG"|"COMPRIMIDOS RECUBIERTOS"|"10"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"MRE"|0|0||0|0
777000224|7800007711458|"F-14830/20"|"KITADOL 160 MG X 16 COMPRIMIDOS MASTICABLES"|"PARACETAMOL 160 MG"|"160"|"160 MG"|"COMPRIMIDOS MASTICABLES"|"16"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|0|0||1|0
777000225|7800007737922|"F-23685/18"|"FLUCONAZOL 150 MG X 2 CAPSULAS"|"FLUCONAZOL 150 MG"|"150"|"150 MG"|"CAPSULAS"|"2"|"CAPSULA"|"CHILE"|"MEDICAMENTOS"|"ANTIMICOTICOS"|"SISTEMICOS"|"APR"|1|0||0|0
777000226|7800007759221|"F-14634/20"|"METFORMINA CLORHIDRATO 850 MG X 30 COMPRIMIDOS RECUBIERTOS"|"METFORMINA CLORHIDRATO 850 MG"|"850"|"850 MG"|"COMPRIMIDOS RECUBIERTOS"|"30"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA ENDOCRINO (HORMONAL) Y METABOLISMO"|"HIPOGLICEMIANTES"|"MRE"|1|0||0|0
777000227|7800007770707|"F-18098/20"|"HEROLAN SF 10 ML X 200 DOSIS AEROSOL PARA INHALACION"|"BECLOMETASONA 50 MCG/PUFF SALBUTAMOL 100 MCG/PUFF"|"50;100"|"50 MCG/PUFF;100 MCG/PUFF"|"AEROSOL PARA INHALACION"|"200"|"DOSIS"|"CHILE"|"MEDICAMENTOS"|"SISTEMA RESPIRATORIO"|"BRONCODILATADORES"|"RMRSCS"|0|0||1|0
777000228|7800007770974|"F-18106/20"|"SINASMAL SF 100 MCG/DOSIS X 10 ML AEROSOL PARA INHALACION"|"SALBUTAMOL 100 MCG/DOSIS"|"100"|"100 MCG/DOSIS"|"AEROSOL PARA INHALACION"|"200"|"DOSIS"|"CHILE"|"MEDICAMENTOS"|"SISTEMA RESPIRATORIO"|"BRONCODILATADORES"|"MRE"|0|0||1|0
777000229|7800007771278|"F-18139/20"|"IBUPROFENO 400 MG X 20 COMPRIMIDOS RECUBIERTOS"|"IBUPROFENO 400 MG"|"400"|"400 MG"|"COMPRIMIDOS RECUBIERTOS"|"20"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"MRE"|1|0||0|0
777000230|7800007771353|"F-18140/20"|"IBUPROFENO 600 MG X 20 COMPRIMIDOS"|"IBUPROFENO 600 MG"|"600"|"600 MG"|"COMPRIMIDOS"|"20"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"MRE"|1|0||0|0
777000231|7800007774101|"F-15328/20"|"AZITROM FORTE 400 MG/5 ML X 30 ML POLVO PARA SUSPENSION ORAL CON SOLVENTE"|"AZITROMICINA 400 MG/5 ML"|"400"|"400 MG/5 ML"|"POLVO PARA SUSPENSION ORAL CON SOLVENTE"|"30"|"100 ML"|"CHILE"|"MEDICAMENTOS"|"ANTIBIOTICOS"|"MACROLIDOS"|"APR"|0|0||1|1
777000232|7800007782397|"F-7126/20"|"AMOBIOTIC 1 G X 14 COMPRIMIDOS DISPERSABLES"|"AMOXICILINA 1000 MG"|"1000"|"1000 MG"|"COMPRIMIDOS DISPERSABLES"|"14"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"ANTIBIOTICOS"|"PENICILINICOS"|"APR"|0|0||1|0
777000233|7800007783448|"F-18595/21"|"ESCITALOPRAM 10 MG X 30 COMPRIMIDOS RECUBIERTOS"|"ESCITALOPRAM 10 MG"|"10"|"10 MG"|"COMPRIMIDOS RECUBIERTOS"|"30"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA NERVIOSO CENTRAL Y PERIFERICO"|"ESTABILIZADORES DEL ANIMO"|"MRE"|1|0||0|0
777000234|7800007788320|"F-14404/19"|"CARVEDILOL 25 MG X 30 COMPRIMIDOS"|"CARVEDILOL 25 MG"|"25"|"25 MG"|"COMPRIMIDOS"|"30"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA CARDIOVASCULAR Y SANGUINEO"|"ANTIHIPERTENSIVOS ASOCIADOS Y RELACIONADOS CON OTRAS ENFERMEDADES"|"MRE"|1|0||0|0
777000235|7800007790309|"F-8360/21"|"CIPROFLOXACINO 500 MG X 6 COMPRIMIDOS RECUBIERTOS"|"CIPROFLOXACINO 500 MG"|"500"|"500 MG"|"COMPRIMIDOS RECUBIERTOS"|"6"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"ANTIBIOTICOS"|"QUINOLONAS"|"RMRSCS"|1|0||0|0
777000236|7800007790736|"F-18651/21"|"NARTAN 2,5 MG X 2 COMPRIMIDOS RECUBIERTOS"|"NARATRIPTAN CLORHIDRATO 2,5 MG"|"2,5"|"2,5 MG"|"COMPRIMIDOS RECUBIERTOS"|"2"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANTIJAQUECOSOS"|"MRE"|1|0||1|0
777000237|7800007794994|"F-3836/20"|"TRAMADOL 100 MG/ML X 20 ML SOLUCION ORAL PARA GOTAS"|"TRAMADOL CLORHIDRATO 100 MG/ML"|"100"|"100 MG/ML"|"SOLUCION ORAL PARA GOTAS"|"20"|"100 ML"|"CHILE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS OPIOIDES"|"RMRSCS"|1|0||0|1
777000238|7800007800473|"F-19616/17"|"LISUR 200 MG X 20 COMPRIMIDOS RECUBIERTOS"|"FLAVOXATO CLORHIDRATO 200 MG"|"200"|"200 MG"|"COMPRIMIDOS RECUBIERTOS"|"20"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA REPRODUCTIVO Y URINARIO"|"INCONTINENCIA URINARIA"|"MRE"|0|0||1|0
777000239|7800007801548|"F-19646/17"|"ATORVASTATINA 10 MG X 30 COMPRIMIDOS RECUBIERTOS"|"ATORVASTATINA 10 MG"|"10"|"10 MG"|"COMPRIMIDOS RECUBIERTOS"|"30"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA CARDIOVASCULAR Y SANGUINEO"|"HIPOLIPEMIANTES (COLESTEROL)"|"MRE"|1|0||0|0
777000240|7800007801555|"F-19643/17"|"ATORVASTATINA 20 MG X 30 COMPRIMIDOS RECUBIERTOS"|"ATORVASTATINA 20 MG"|"20"|"20 MG"|"COMPRIMIDOS RECUBIERTOS"|"30"|"COMPRIMIDO"|"CHILE"|"MEDICAMENTOS"|"SISTEMA CARDIOVASCULAR Y SANGUINEO"|"HIPOLIPEMIANTES (COLESTEROL)"|"MRE"|1|0||0|0
